date,net_pnl_usd,total_R,accuracy_pct,profit_factor,trade_count,report_style,trim_verdict
2026-04-14,1068.57,3.17,48,1.27,73,narrative,outlier-carried
2026-04-15,7043.91,20.36,52,2.08,56,narrative,outlier-carried
2026-04-16,3723.46,8.95,60.5,1.82,43,narrative,broad-green
2026-04-17,5761.56,12.72,55.0,2.43,40,narrative,broad-green
2026-04-20,3197.25,6.26,36,1.69,53,narrative,outlier-carried
2026-04-21,-1921.38,-3.53,36.7,0.63,90,narrative,broad-red
2026-04-22,-2336.78,-4.47,53.5,0.65,71,narrative,outlier-carried
2026-04-23,-5946.26,-11.82,38.1,0.54,63,narrative,broad-red
2026-04-24,1140.42,2.57,48,1.23,46,narrative,broad-green
2026-04-27,-241.58,-0.53,41.9,0.95,74,narrative,broad-red
2026-04-28,1112.77,2.46,45.2,1.21,73,narrative,broad-green
2026-04-29,2443.61,5.27,50.9,1.49,53,narrative,broad-green
2026-05-01,409.52,0.84,49,1.09,41,narrative,outlier-carried
2026-05-04,2513.28,4.86,51,1.45,53,narrative,broad-green
2026-05-05,7.98,0.02,47.1,1.00,34,quant,outlier-carried
2026-05-06,-3815.32,-7.32,40.5,0.20,37,narrative,broad-red
2026-05-07,-2847.02,-5.89,36.5,0.46,52,narrative,broad-red
2026-05-08,-1138.49,-2.51,45.1,0.80,51,narrative,broad-red
2026-05-11,3133.17,7.07,49.1,1.97,53,narrative,broad-green
2026-05-12,5127.02,10.82,44.2,1.74,86,narrative,broad-green
2026-05-13,5754.20,10.94,48,1.41,102,narrative,broad-green
2026-05-14,4052.11,6.95,49,1.51,76,narrative,broad-green
2026-05-15,-1289.93,-2.07,44.7,0.87,94,quant,broad-red
2026-05-18,5191.98,8.51,50,1.79,78,narrative,broad-green
2026-05-19,570.16,0.87,40,1.07,118,narrative,outlier-carried
2026-05-20,-4086.68,-6.22,38.2,0.68,68,narrative,broad-red
2026-05-21,1725.52,2.81,46,1.33,69,narrative,outlier-carried
2026-05-22,1789.53,2.84,45.2,1.41,93,quant,broad-green
2026-05-26,-2809.46,-4.38,27.1,0.51,48,narrative,broad-red
2026-05-27,5592.96,9.12,45,1.72,80,quant,outlier-carried
2026-05-28,10257.65,15.38,50,1.98,102,quant,broad-green
2026-05-29,3902.89,5.08,50,2.04,54,quant,broad-green
2026-06-01,8437.54,10.48,48.5,1.66,99,quant,broad-green
2026-06-02,1158.20,1.30,49,1.22,59,quant,broad-green
2026-06-03,2604.04,2.90,49,1.34,43,quant,broad-green
2026-06-04,1399.14,1.52,46,1.21,39,quant,broad-green
2026-06-05,2115.59,2.27,49,1.35,45,quant,broad-green
2026-06-08,50495.33,53.04,51,3.63,144,quant,broad-green
2026-06-09,1485.78,1.02,49,1.04,83,quant,outlier-carried
2026-06-10,8633.40,5.88,53,1.48,64,quant,broad-green
2026-06-11,7400.22,4.77,42,1.47,74,quant,broad-green
2026-06-12,-1692,-1.04,54,0.88,79,quant,loss
2026-06-15,2552.38,2.30,61,1.62,28,quant,broad-green
2026-06-16,439.55,0.39,52,1.06,48,quant,outlier-carried
2026-06-17,3806.41,3.35,57,1.56,61,quant,broad-green
